Date,STI
15/02/2018,3443.51001
19/02/2018,3487.879883
20/02/2018,3476.530029
21/02/2018,3516.22998
22/02/2018,3488.459961
23/02/2018,3533.219971
26/02/2018,3555.850098
27/02/2018,3540.389893
28/02/2018,3517.939941
01/03/2018,3513.850098
02/03/2018,3479.199951
05/03/2018,3438.610107
06/03/2018,3491.919922
07/03/2018,3450.689941
08/03/2018,3480.439941
09/03/2018,3485.570068
12/03/2018,3540.189941
13/03/2018,3553.72998
14/03/2018,3539.409912
15/03/2018,3517.72998
16/03/2018,3512.139893
19/03/2018,3498.290039
20/03/2018,3513.310059
21/03/2018,3511.129883
22/03/2018,3491.370117
23/03/2018,3421.389893
26/03/2018,3412.459961
27/03/2018,3439.350098
28/03/2018,3382.780029
29/03/2018,3427.969971
02/04/2018,3430.76001
03/04/2018,3412.149902
04/04/2018,3339.699951
05/04/2018,3405.649902
06/04/2018,3442.5
09/04/2018,3449.959961
10/04/2018,3466.379883
11/04/2018,3479.76001
12/04/2018,3468.610107
13/04/2018,3501.300049
16/04/2018,3497.189941
17/04/2018,3498.199951
18/04/2018,3557.820068
19/04/2018,3598.72998
20/04/2018,3573.379883
23/04/2018,3579.540039
24/04/2018,3584.560059
25/04/2018,3568.01001
26/04/2018,3570.02002
27/04/2018,3577.209961
30/04/2018,3613.929932
02/05/2018,3615.280029
03/05/2018,3575.679932
04/05/2018,3545.379883
07/05/2018,3532.860107
08/05/2018,3543.169922
09/05/2018,3548.540039
10/05/2018,3537.590088
11/05/2018,3570.169922
14/05/2018,3562.459961
15/05/2018,3540.22998
16/05/2018,3533.050049
17/05/2018,3536.76001
18/05/2018,3529.27002
21/05/2018,3548.22998
22/05/2018,3543.179932
23/05/2018,3496.27002
24/05/2018,3528.919922
25/05/2018,3513.22998
28/05/2018,3518.47998
30/05/2018,3443.949951
31/05/2018,3428.179932
01/06/2018,3427.51001
04/06/2018,3467.47998
05/06/2018,3483.159912
06/06/2018,3467.810059
07/06/2018,3473.080078
08/06/2018,3436.370117
11/06/2018,3441.689941
12/06/2018,3430.689941
13/06/2018,3392.51001
14/06/2018,3356.72998
18/06/2018,3324.040039
19/06/2018,3301.350098
20/06/2018,3310.620117
