TrackNames,Artists,Streams,url,Likes
Stop Me from Falling,Kylie Minogue,3275,https://open.spotify.com/track/6dxXU2bvNkhdnlVkX0lGzm,5320
More Than Friends (feat. Meghan Trainor),Jason Mraz Meghan Trainor,3180,https://open.spotify.com/track/03VNgdCL9t8aPyvwZecglI,5528
Thunderclouds,Sia Diplo Labrinth LSD,3085,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,6249
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding Diplo Swae Lee,3022,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,5365
On The Loose,Niall Horan,3005,https://open.spotify.com/track/0kThmY7A0ynir2qLWFFhrY,10150
I'll Be There,Jess Glynne,2967,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn,5060
Kiss Me,MAGIC!,2955,https://open.spotify.com/track/7gnNDxgKe5QQtWLQAtIKeu,9849
God is a woman,Ariana Grande,2922,https://open.spotify.com/track/1ChPiAIS5RGNUQY4ohyfXG,10966
If You Leave Me Now (feat. Boyz II Men),Charlie Puth Boyz II Men,2863,https://open.spotify.com/track/5QLAHKawoQwVRNf1waaVW7,5592
Connection,OneRepublic,2860,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU,9271
Helium (Sia vs. David Guetta & Afrojack),Sia David Guetta Afrojack,2817,https://open.spotify.com/track/2ludbmtPoyCPe2K08fAlFl,11590
Eastside (with Halsey & Khalid),benny blanco Halsey Khalid,2815,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,11615
Polaroid,Jonas Blue Liam Payne Lennon Stella,2801,https://open.spotify.com/track/1wsLHgXJ4SKIfd5ePSX1hD,9291
Youth (feat. Khalid),Shawn Mendes Khalid,2684,https://open.spotify.com/track/1h0yImRPIVAjhhHeNVlTuC,8003
1999,Charli XCX Troye Sivan,2663,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,3600
Side Effects,The Chainsmokers Emily Warren,2611,https://open.spotify.com/track/0bGLvHd0ApdT4t0shCfpzG,11727
All I Am,Jess Glynne,2604,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV,11245
Woman Like Me (feat. Nicki Minaj),Little Mix Nicki Minaj,2581,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,5617
Electricity (with Dua Lipa),Silk City Dua Lipa Diplo Mark Ronson,2554,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,9025
Without Me,Halsey,2493,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5269
Pray For Me (with Kendrick Lamar),The Weeknd Kendrick Lamar,2482,https://open.spotify.com/track/77UjLW8j5UAGAGVGhR5oUK,9647
In My Feelings,Drake,2446,https://open.spotify.com/track/0h1W19pS59KtEd7aDzF58i,7152
Call Out My Name,The Weeknd,2442,https://open.spotify.com/track/4MPTj8lMMvxLwT3EwuXFop,10803
Call Me Sir (feat. Cam & Travie McCoy),Train Cam Travie McCoy,2440,https://open.spotify.com/track/5lzb11BOouSBDXxhTnTtpv,11920
Make Me Feel,Janelle MonÃ¡e,2429,https://open.spotify.com/track/79GsUxLyzxgnN4I1E11dtO,10346
Psycho,Post Malone Ty Dolla $ign,2370,https://open.spotify.com/track/1GXABqvCDvQ58wPbkNhhzh,5038
Baby You Make Me Crazy,Sam Smith,2351,https://open.spotify.com/track/1p1SbqeipOd4ezKUpxqaz6,4756
Let You Love Me,Rita Ora,2347,https://open.spotify.com/track/1tgbGr5C070SXLBSJD0rAZ,4880
Next To Me,Imagine Dragons,2330,https://open.spotify.com/track/31VOknKjFrEX47bZXzqcoF,6046
Consequences,Camila Cabello,2329,https://open.spotify.com/track/7sTtHHrD0zDpmzQzH3zegz,3203
Us,James Bay Alicia Keys,2327,https://open.spotify.com/track/2lmMt4SRDXDma6QkJUox0D,8168
My My My!,Troye Sivan,2312,https://open.spotify.com/track/1YHT1FZv5t3ZFLsVPuy6Rq,5129
No Matter What,Calum Scott,2304,https://open.spotify.com/track/1LxlsAn1gECKoqLtOslshm,6102
Flames,David Guetta Sia,2292,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV,7478
Love Lies (with Normani),Khalid Normani,2290,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,6545
Remind Me to Forget,Kygo Miguel,2212,https://open.spotify.com/track/5sIx4BlfYGuZeSLF40N9GH,11566
Natural,Imagine Dragons,2212,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,7888
Ocean (feat. Khalid),Martin Garrix Khalid,2202,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,3421
80s Baby,Debbie Gibson Naughty By Nature New Kids On The Block Salt-N-Pepa Tiffany,2183,https://open.spotify.com/track/19847aKTFGRtPQkJeGkz3N,4777
Joanne (Where Do You Think You're Goin'?) - Piano Version,Lady Gaga,2175,https://open.spotify.com/track/1j8jHKgAQ7QD52Wd5uuLNZ,5936
